Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 285 0.70922 0.27441 0.9814 0.018596 2.4821 
1 286 0.74271 0.27586 0.98789 0.012107 2.164 
1 287 0.74271 0.27586 0.98789 0.012107 2.164 
1 288 0.74821 0.27347 0.98122 0.018782 1.9397 
1 289 0.74805 0.29116 0.98154 0.018464 1.536 
1 290 0.75743 0.30395 0.98472 0.01528 1.1407 
1 291 0.75743 0.30395 0.98472 0.01528 1.1407 
1 292 0.72133 0.28293 0.98452 0.01548 2.2315 
1 293 0.72374 0.2891 0.99252 0.0074789 2.2843 
1 294 0.72374 0.2891 0.99252 0.0074789 2.2843 
1 295 0.72374 0.2891 0.99252 0.0074789 2.2843 
1 296 0.68522 0.30658 0.97941 0.020591 1.9986 
1 297 0.70088 0.32321 0.97653 0.023475 1.3398 
1 298 0.70088 0.32321 0.97653 0.023475 1.3398 
1 299 0.72636 0.32228 0.99387 0.0061311 1.4806 
1 300 0.72636 0.32228 0.99387 0.0061311 1.4806 
1 301 0.72636 0.32228 0.99387 0.0061311 1.4806 
1 302 0.72282 0.32252 0.99881 0.0011896 1.6725 
1 303 0.72282 0.32252 0.99881 0.0011896 1.6725 
1 304 0.72282 0.32252 0.99881 0.0011896 1.6725 
1 305 0.75475 0.32485 0.99854 0.0014561 1.0502 
1 306 0.76268 0.3214 0.99453 0.0054745 0.87465 
1 307 0.76268 0.3214 0.99453 0.0054745 0.87465 
1 308 0.77331 0.31267 0.99977 0.00023254 1.0254 
1 309 0.77079 0.30354 0.97502 0.024984 0.62474 
1 310 0.77079 0.30354 0.97502 0.024984 0.62474 
1 311 0.77079 0.30354 0.97502 0.024984 0.62474 
1 312 0.755 0.30544 0.98653 0.013474 1.1991 
1 313 0.76372 0.29092 0.97306 0.02694 1.0188 
1 314 0.77246 0.29514 0.99431 0.0056935 1.3867 
1 315 0.74383 0.30091 0.98823 0.011772 1.5594 
1 316 0.76105 0.27629 0.98921 0.010791 1.8683 
1 317 0.76001 0.26456 0.98506 0.01494 2.0404 
1 318 0.77869 0.25041 0.97757 0.022427 1.7331 
1 319 0.77869 0.25041 0.97757 0.022427 1.7331 
1 320 0.78959 0.24271 0.98832 0.011677 2.0073 
1 321 0.80657 0.24946 0.98879 0.01121 1.4846 
1 322 0.80944 0.2629 0.99693 0.0030736 1.2859 
1 323 0.82012 0.26914 0.99281 0.0071863 0.81064 
1 324 0.82012 0.26914 0.99281 0.0071863 0.81064 
1 325 0.79396 0.28065 0.99525 0.0047462 1.243 
1 326 0.80863 0.28417 0.98568 0.014322 0.55932 
1 327 0.77768 0.27095 0.97805 0.021951 1.3562 
1 328 0.77521 0.26085 0.98268 0.017317 1.7652 
1 329 0.75602 0.26604 0.99124 0.0087598 2.2512 
1 330 0.74986 0.26282 0.98763 0.012366 2.328 
1 331 0.74986 0.26282 0.98763 0.012366 2.328 
1 332 0.72383 0.25352 0.99541 0.0045871 3.1079 
1 333 0.69987 0.24863 0.97475 0.025251 2.8701 
1 334 0.69987 0.24863 0.97475 0.025251 2.8701 
1 335 0.69987 0.24863 0.97475 0.025251 2.8701 
1 336 0.63852 0.2371 0.99228 0.0077201 3.4397 
1 337 0.63075 0.24019 0.98695 0.013053 3.2813 
1 338 0.64119 0.24577 0.98399 0.016009 3.2697 
1 339 0.66331 0.23188 0.96567 0.034327 2.9816 
1 340 0.68445 0.23983 0.97247 0.02753 3.0296 
1 341 0.68445 0.23983 0.97247 0.02753 3.0296 
1 342 0.70067 0.23698 0.96341 0.036592 2.7374 
1 343 0.6771 0.24294 0.95789 0.042111 2.6393 
1 344 0.6665 0.24063 0.96241 0.037587 2.815 
1 345 0.67686 0.24775 0.96428 0.035721 2.7507 
1 346 0.67686 0.24775 0.96428 0.035721 2.7507 
1 347 0.63788 0.24092 0.96219 0.037809 2.7823 
1 348 0.62341 0.23773 0.96665 0.03335 2.8216 
1 349 0.63117 0.2372 0.9507 0.049303 2.5091 
1 350 0.60387 0.24059 0.95025 0.04975 2.308 
1 351 0.59761 0.23229 0.95899 0.041013 2.4209 
1 352 0.62528 0.22056 0.95744 0.042562 2.6622 
1 353 0.62528 0.22056 0.95744 0.042562 2.6622 
1 354 0.61625 0.23218 0.96813 0.031874 2.7938 
1 355 0.62261 0.24063 0.97425 0.025753 2.9676 
1 356 0.62407 0.2503 0.97723 0.022771 3.0106 
1 357 0.60636 0.24432 0.9992 0.00079894 3.2246 
1 358 0.61825 0.24639 0.98441 0.015592 3.129 
1 359 0.64876 0.21885 0.98723 0.012765 3.3884 
1 360 0.6507 0.21413 0.99171 0.008287 3.4404 
1 361 0.64856 0.21023 0.97232 0.027679 3.1034 
1 362 0.69015 0.19926 0.9902 0.0097959 3.6064 
1 363 0.69015 0.19926 0.9902 0.0097959 3.6064 
1 364 0.72988 0.19274 0.98869 0.01131 3.4865 
1 365 0.72288 0.18601 0.9853 0.014699 3.4267 
1 366 0.72097 0.18705 0.98474 0.015265 3.4822 
1 367 0.74583 0.18825 0.9929 0.0071028 3.5317 
1 368 0.74129 0.18693 0.98484 0.015158 3.389 
1 369 0.75172 0.21371 0.99315 0.0068534 3.3047 
1 370 0.73527 0.20492 0.99837 0.0016279 3.634 
1 371 0.7041 0.19848 0.99395 0.0060534 3.704 
1 372 0.68772 0.20096 0.9967 0.003297 3.7094 
1 373 0.68772 0.20096 0.9967 0.003297 3.7094 
1 374 0.69094 0.21733 0.99473 0.0052711 3.7186 
1 375 0.71689 0.22192 0.99232 0.0076804 3.5457 
1 376 0.71689 0.22192 0.99232 0.0076804 3.5457 
1 377 0.69582 0.21481 0.99572 0.0042795 3.745 
1 378 0.67187 0.21944 0.99632 0.0036795 3.7026 
1 379 0.67187 0.21944 0.99632 0.0036795 3.7026 
1 380 0.69198 0.2309 0.99804 0.0019593 3.722 
1 381 0.69198 0.2309 0.99804 0.0019593 3.722 
1 382 0.69588 0.22732 0.99283 0.0071652 3.617 
1 383 0.68253 0.2157 0.99263 0.0073672 3.6681 
1 384 0.70103 0.20832 0.99087 0.0091322 3.6529 
1 385 0.67622 0.20985 0.99815 0.0018471 3.722 
1 386 0.67622 0.20985 0.99815 0.0018471 3.722 
1 387 0.67622 0.20985 0.99815 0.0018471 3.722 
1 388 0.6804 0.20661 0.98346 0.016538 3.479 
1 389 0.6804 0.20661 0.98346 0.016538 3.479 
1 390 0.67897 0.2115 0.9919 0.0080964 3.6386 
1 391 0.68728 0.20592 0.98931 0.010689 3.6074 
1 392 0.68728 0.20592 0.98931 0.010689 3.6074 
1 393 0.72855 0.21643 0.98933 0.01067 3.4335 
1 394 0.72855 0.21643 0.98933 0.01067 3.4335 
1 395 0.69896 0.21522 0.98141 0.018587 3.4243 
1 396 0.68463 0.22022 0.97971 0.020295 3.3823 
1 397 0.68463 0.22022 0.97971 0.020295 3.3823 
1 398 0.69283 0.2193 0.98054 0.019458 3.3949 
1 399 0.69283 0.2193 0.98054 0.019458 3.3949 
1 400 0.70653 0.20326 0.97174 0.028258 3.2388 
1 401 0.70653 0.20326 0.97174 0.028258 3.2388 
1 402 0.72331 0.19229 0.97207 0.027933 3.1528 
1 403 0.68391 0.19518 0.95137 0.048631 2.8365 
1 404 0.676 0.19785 0.95933 0.040669 2.9863 
1 405 0.66447 0.20224 0.96171 0.038289 2.9939 
1 406 0.67604 0.20525 0.96749 0.032506 3.1539 
1 407 0.65936 0.19924 0.98075 0.019254 3.2479 
1 408 0.65603 0.21278 0.98071 0.019285 3.3148 
1 409 0.65603 0.21278 0.98071 0.019285 3.3148 
1 410 0.66026 0.21331 0.9838 0.016201 3.3994 
1 411 0.65124 0.22183 0.97564 0.024362 3.2043 
1 412 0.63053 0.22778 0.97711 0.022892 3.0853 
1 413 0.63053 0.22778 0.97711 0.022892 3.0853 
1 414 0.66897 0.23066 0.96656 0.033435 3.0129 
1 415 0.67593 0.23741 0.97415 0.025846 3.1272 
1 416 0.67593 0.23741 0.97415 0.025846 3.1272 
1 417 0.67134 0.24984 0.97511 0.024888 3.0201 
1 418 0.67134 0.24984 0.97511 0.024888 3.0201 
1 419 0.6549 0.2499 0.97515 0.024851 3.0472 
1 420 0.6642 0.25836 0.96527 0.034733 2.6663 
1 421 0.66487 0.25494 0.98154 0.018461 3.1391 
1 422 0.61535 0.25409 0.9772 0.022796 2.9405 
1 423 0.62189 0.24716 0.97944 0.020555 3.0561 
1 424 0.61475 0.2511 0.96802 0.031983 2.7455 
1 425 0.61475 0.2511 0.96802 0.031983 2.7455 
1 426 0.59891 0.23788 0.98049 0.019513 2.8178 
1 427 0.59891 0.23788 0.98049 0.019513 2.8178 
1 428 0.62437 0.24587 0.98009 0.019908 3.097 
1 429 0.62437 0.24587 0.98009 0.019908 3.097 
1 430 0.62437 0.24587 0.98009 0.019908 3.097 
1 431 0.62437 0.24587 0.98009 0.019908 3.097 
1 432 0.60658 0.24423 0.99376 0.0062374 3.1553 
1 433 0.64042 0.22564 0.97322 0.026784 3.0901 
1 434 0.62856 0.22458 0.9854 0.0146 3.1837 
1 435 0.62353 0.22696 0.99893 0.0010736 3.2955 
1 436 0.62353 0.22696 0.99893 0.0010736 3.2955 
1 437 0.67416 0.23968 0.99387 0.0061282 3.5846 
1 438 0.64251 0.24353 0.99884 0.0011575 3.5886 
1 439 0.63947 0.25139 0.99975 0.00024512 3.5707 
1 440 0.64136 0.25805 0.99183 0.0081716 3.3627 
1 441 0.64136 0.25805 0.99183 0.0081716 3.3627 
1 442 0.64136 0.25805 0.99183 0.0081716 3.3627 
1 443 0.66861 0.24941 0.98085 0.019152 3.1797 
1 444 0.69764 0.24155 0.98023 0.019773 3.1374 
1 445 0.68858 0.24866 0.98185 0.018145 3.1361 
1 446 0.71085 0.25547 0.9921 0.0079001 3.126 
