Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 289 0.70332 0.42216 0.94238 0.057619 -6.8416 
1 290 0.71055 0.41484 0.95014 0.049865 -6.77 
1 291 0.71825 0.41053 0.94907 0.050931 -6.7894 
1 292 0.70607 0.41149 0.94352 0.056476 -6.7611 
1 293 0.70607 0.41149 0.94352 0.056476 -6.7611 
1 294 0.74185 0.42836 0.96736 0.032642 -6.9828 
1 295 0.72386 0.42898 0.97319 0.026809 -6.8344 
1 296 0.72064 0.43584 0.9802 0.019802 -6.8326 
1 297 0.75138 0.42634 0.98207 0.017927 -6.9537 
1 298 0.74464 0.42536 0.96375 0.036252 -7.0005 
1 299 0.76211 0.41066 0.96713 0.03287 -6.9924 
1 300 0.76879 0.41213 0.96761 0.032385 -7.0539 
1 301 0.79042 0.39858 0.97409 0.025915 -7.0926 
1 302 0.79042 0.39858 0.97409 0.025915 -7.0926 
1 303 0.77766 0.37792 0.96771 0.032292 -6.8713 
1 304 0.76117 0.40518 0.96422 0.035779 -6.9606 
1 305 0.75756 0.40271 0.95838 0.041619 -6.9474 
1 306 0.74129 0.40606 0.96526 0.034735 -6.8152 
1 307 0.72574 0.40172 0.98348 0.016524 -6.6428 
1 308 0.71041 0.38879 0.96841 0.031585 -6.508 
1 309 0.71483 0.39701 0.96663 0.03337 -6.5873 
1 310 0.72426 0.39097 0.97591 0.024094 -6.5859 
1 311 0.7252 0.38753 0.97236 0.027642 -6.5759 
1 312 0.71684 0.38014 0.95468 0.045324 -6.5268 
1 313 0.71802 0.36843 0.96702 0.03298 -6.452 
1 314 0.70146 0.3609 0.94377 0.056234 -6.3641 
1 315 0.69315 0.3615 0.94864 0.051359 -6.3229 
1 316 0.66934 0.35787 0.96399 0.036007 -6.2757 
1 317 0.65242 0.34816 0.95082 0.049183 -6.1844 
1 318 0.63931 0.36181 0.9485 0.0515 -6.1944 
1 319 0.62501 0.37938 0.94273 0.057271 -6.2305 
1 320 0.61906 0.38938 0.94562 0.054377 -6.2592 
1 321 0.60882 0.39037 0.94774 0.052258 -6.2486 
1 322 0.59941 0.39557 0.93575 0.06425 -6.2785 
1 323 0.59941 0.39557 0.93575 0.06425 -6.2785 
1 324 0.59411 0.39698 0.93003 0.069965 -6.2984 
1 325 0.59356 0.39613 0.92228 0.077718 -6.3298 
1 326 0.57743 0.38698 0.93359 0.066407 -6.2304 
1 327 0.55802 0.38296 0.92548 0.074518 -6.2371 
1 328 0.53886 0.39054 0.91561 0.08439 -6.3034 
1 329 0.53893 0.38534 0.92301 0.07699 -6.2607 
1 330 0.54363 0.38838 0.92132 0.078682 -6.2719 
1 331 0.56593 0.39312 0.92682 0.073184 -6.267 
1 332 0.5505 0.39328 0.90983 0.090169 -6.3436 
1 333 0.54153 0.3969 0.90803 0.091973 -6.3695 
1 334 0.56646 0.37521 0.90817 0.091835 -6.2733 
1 335 0.56566 0.36176 0.89768 0.10232 -6.2743 
1 336 0.60107 0.37289 0.89836 0.10164 -6.3517 
1 337 0.58063 0.37739 0.92035 0.079652 -6.2313 
1 338 0.56141 0.36582 0.93144 0.068555 -6.2018 
1 339 0.51994 0.38008 0.92962 0.070378 -6.2857 
1 340 0.50475 0.40333 0.92558 0.074419 -6.3314 
1 341 0.49623 0.4134 0.91766 0.082345 -6.4004 
1 342 0.52296 0.40465 0.91401 0.085987 -6.3713 
1 343 0.52375 0.40819 0.90694 0.093057 -6.4323 
1 344 0.53413 0.3947 0.90737 0.092631 -6.3637 
1 345 0.55015 0.4117 0.90733 0.092674 -6.4628 
1 346 0.56745 0.39998 0.92153 0.078466 -6.3212 
1 347 0.56745 0.39998 0.92153 0.078466 -6.3212 
1 348 0.55035 0.38227 0.89941 0.10059 -6.3569 
1 349 0.51299 0.37395 0.89884 0.10116 -6.3685 
1 350 0.51443 0.37456 0.87896 0.12104 -6.5031 
1 351 0.47351 0.35937 0.89016 0.10984 -6.513 
1 352 0.46095 0.36439 0.90383 0.096169 -6.5173 
1 353 0.51493 0.36667 0.90266 0.097341 -6.3353 
1 354 0.51442 0.37887 0.91228 0.087716 -6.3181 
1 355 0.51545 0.37868 0.90654 0.093458 -6.3367 
1 356 0.53213 0.38166 0.89552 0.10448 -6.3878 
1 357 0.54497 0.39017 0.89621 0.10379 -6.4198 
1 358 0.54497 0.39017 0.89621 0.10379 -6.4198 
1 359 0.54088 0.37891 0.89091 0.10909 -6.4035 
1 360 0.52754 0.37766 0.87915 0.12085 -6.4965 
1 361 0.51971 0.36504 0.88682 0.11318 -6.4046 
1 362 0.49284 0.38145 0.87187 0.12813 -6.6256 
1 363 0.51336 0.3639 0.8803 0.1197 -6.4582 
1 364 0.51693 0.36355 0.88848 0.11152 -6.3941 
1 365 0.54266 0.36195 0.88452 0.11548 -6.3767 
1 366 0.52101 0.33833 0.86923 0.13077 -6.4635 
1 367 0.52497 0.34837 0.87011 0.12989 -6.4668 
1 368 0.51417 0.34395 0.8765 0.1235 -6.4437 
