mu_1 sd_1 w_1 mu_2 sd_2 w_2 w_NS
0 349 0.500852 0.372452 0.924212 0.0757883 -6.34306
0 350 0.491465 0.382656 0.922494 0.0775064 -6.3579
0 351 0.50499 0.382893 0.91894 0.0810599 -6.32625
0 352 0.545289 0.365932 0.912194 0.0878059 -6.24347
0 353 0.544975 0.370507 0.909639 0.0903609 -6.26222
0 354 0.544975 0.370507 0.909639 0.0903609 -6.26222
0 355 0.545202 0.391071 0.907463 0.0925371 -6.34694
0 356 0.512824 0.397897 0.906362 0.0936384 -6.39575
0 357 0.498313 0.389996 0.910561 0.0894388 -6.37202
0 358 0.48143 0.38483 0.91088 0.0891195 -6.40019
0 359 0.48143 0.38483 0.91088 0.0891195 -6.40019
0 360 0.498108 0.372414 0.92376 0.0762396 -6.35181
0 361 0.502566 0.374798 0.916994 0.0830063 -6.33425
0 362 0.527145 0.370711 0.919605 0.0803947 -6.28079
0 363 0.536947 0.378929 0.911533 0.0884675 -6.2861
0 364 0.536947 0.378929 0.911533 0.0884675 -6.2861
0 365 0.518194 0.37957 0.920385 0.0796147 -6.29209
0 366 0.487923 0.367295 0.908595 0.0914054 -6.39381
0 367 0.473424 0.368764 0.922483 0.0775167 -6.4547
0 368 0.474212 0.375015 0.931708 0.0682923 -6.46083
0 369 0.479488 0.389123 0.934145 0.0658554 -6.39856
0 370 0.473274 0.37383 0.933563 0.0664374 -6.4803
0 371 0.456542 0.395506 0.92573 0.07427 -6.44922
0 372 0.492956 0.394534 0.907695 0.092305 -6.39914
0 373 0.467163 0.392467 0.907353 0.092647 -6.4548
0 374 0.467163 0.392467 0.907353 0.092647 -6.4548
0 375 0.449824 0.375072 0.913851 0.0861491 -6.52697
0 376 0.469497 0.368909 0.901441 0.098559 -6.47657
0 377 0.445984 0.375734 0.90327 0.0967299 -6.55495
0 378 0.445984 0.375734 0.90327 0.0967299 -6.55495
0 379 0.459935 0.390666 0.903556 0.0964436 -6.48976
0 380 0.459793 0.389328 0.899851 0.100149 -6.50826
0 381 0.466543 0.392249 0.906235 0.093765 -6.46142
0 382 0.474575 0.37446 0.92644 0.0735604 -6.44021
0 383 0.474667 0.369945 0.927314 0.0726862 -6.46044
0 384 0.460616 0.356081 0.95056 0.0494401 -6.93901
0 385 0.460616 0.356081 0.95056 0.0494401 -6.93901
0 386 0.460616 0.356081 0.95056 0.0494401 -6.93901
0 387 0.469507 0.356764 0.942398 0.0576015 -6.71981
0 388 0.469057 0.353233 0.951947 0.0480528 -6.93731
0 389 0.469057 0.353233 0.951947 0.0480528 -6.93731
0 390 0.469057 0.353233 0.951947 0.0480528 -6.93731
0 391 0.469057 0.353233 0.951947 0.0480528 -6.93731
0 392 0.471449 0.34378 0.950225 0.0497752 -7.01734
0 393 0.471449 0.34378 0.950225 0.0497752 -7.01734
0 394 0.475738 0.332451 0.954469 0.0455306 -7.27864
0 395 0.450601 0.352913 0.962973 0.0370273 -7.43512
0 396 0.443671 0.337338 0.966181 0.0338191 -8.01684
0 397 0.455762 0.337419 0.965052 0.0349482 -7.79712
0 398 0.464113 0.344669 0.964441 0.0355591 -7.67378
0 399 0.441864 0.352938 0.981833 0.0181673 -8.56236
0 400 0.441864 0.352938 0.981833 0.0181673 -8.56236
0 401 0.441864 0.352938 0.981833 0.0181673 -8.56236
0 402 0.441864 0.352938 0.981833 0.0181673 -8.56236
0 403 0.458984 0.353063 0.97739 0.0226103 -7.99799
0 404 0.466681 0.356664 0.974742 0.025258 -7.66702
0 405 0.466681 0.356664 0.974742 0.025258 -7.66702
0 406 0.496499 0.366101 0.984839 0.0151614 -7.6331
0 407 0.510609 0.375381 0.985583 0.0144169 -7.32452
0 408 0.511089 0.370845 0.973758 0.0262416 -6.93284
0 409 0.539522 0.362478 0.95373 0.0462696 -6.41579
0 410 0.537638 0.359408 0.961174 0.0388259 -6.56297
0 411 0.557969 0.377123 0.971798 0.0282018 -6.52387
0 412 0.551458 0.37792 0.970917 0.0290831 -6.5323
0 413 0.554678 0.368607 0.976397 0.0236033 -6.71554
0 414 0.554678 0.368607 0.976397 0.0236033 -6.71554
0 415 0.558536 0.364255 0.97383 0.0261702 -6.66757
0 416 0.549354 0.354441 0.954721 0.0452788 -6.43069
0 417 0.58481 0.342986 0.952967 0.047033 -6.31441
0 418 0.632118 0.353693 0.956171 0.0438285 -6.21564
0 419 0.651615 0.33816 0.937686 0.062314 -6.13296
0 420 0.651615 0.33816 0.937686 0.062314 -6.13296
0 421 0.675707 0.351176 0.947684 0.0523159 -6.22397
0 422 0.67239 0.332632 0.962054 0.0379458 -6.26496
0 423 0.67239 0.332632 0.962054 0.0379458 -6.26496
0 424 0.676775 0.319522 0.954786 0.0452142 -6.21689
0 425 0.659069 0.323809 0.956224 0.0437761 -6.23045
0 426 0.63811 0.33041 0.959504 0.040496 -6.28172
0 427 0.63289 0.334284 0.953618 0.0463817 -6.21698
0 428 0.667302 0.337717 0.950774 0.0492258 -6.18597
0 429 0.665264 0.336032 0.958066 0.0419345 -6.22761
0 430 0.673402 0.336034 0.965333 0.0346673 -6.29251
0 431 0.655289 0.335965 0.968851 0.0311491 -6.35142
0 432 0.643123 0.339946 0.95905 0.0409503 -6.24336
0 433 0.60558 0.341836 0.953967 0.046033 -6.2618
0 434 0.60558 0.341836 0.953967 0.046033 -6.2618
0 435 0.603393 0.345609 0.956109 0.043891 -6.27855
0 436 0.625004 0.342895 0.969989 0.0300115 -6.41937
0 437 0.634801 0.335043 0.974084 0.0259156 -6.51079
0 438 0.67296 0.340675 0.973347 0.0266532 -6.37698
0 439 0.646293 0.341982 0.972274 0.0277257 -6.40005
0 440 0.646293 0.341982 0.972274 0.0277257 -6.40005
0 441 0.646293 0.341982 0.972274 0.0277257 -6.40005
0 442 0.63707 0.343096 0.985075 0.0149254 -6.71452
0 443 0.628043 0.339511 0.990691 0.00930865 -7.02698
0 444 0.657784 0.339077 0.982522 0.0174778 -6.5851
0 445 0.657784 0.339077 0.982522 0.0174778 -6.5851
0 446 0.665713 0.350131 0.973212 0.0267881 -6.3568
0 447 0.645234 0.349118 0.98107 0.0189296 -6.52773
0 448 0.649822 0.356539 0.975672 0.0243282 -6.38986
0 449 0.649822 0.356539 0.975672 0.0243282 -6.38986
0 450 0.649822 0.356539 0.975672 0.0243282 -6.38986
